player_id,nationality
23354,England
25587,Italy
27299,Germany
30660,Spain
30973,Poland
31097,Croatia
31293,France
34029,Spain
36388,Germany
38432,Brazil
39591,Belgium
41618,Switzerland
46469,France
46820,Italy
51545,Venezuela
58294,Uruguay
66757,Finland
68404,Italy
72241,Slovakia
73024,Italy
73167,Armenia
73409,Norway
75307,Spain
80295,Spain
93447,Poland
95955,Ghana
108381,Bosnia and Herzegovina
109222,Spain
113836,England
115067,Serbia
115591,Switzerland
116772,Germany
119014,Serbia
128827,Germany
130155,Italy
141699,Croatia
145550,Germany
148830,France
149219,Belgium
150250,Spain
150565,Gabon
151001,Hungary
154280,Ghana
156008,England
157723,Denmark
159833,England
160447,England
161012,Netherlands
161328,Italy
163604,Wales
166019,Tunisia
166733,Austria
167008,Germany
167035,Portugal
167589,Germany
169162,England
169193,France
169200,Belgium
169586,Uruguay
169718,Poland
169719,New Zealand
169756,Spain
170323,Belgium
173461,Croatia
174472,Spain
175311,Spain
177126,Slovenia
177714,Germany
178732,Poland
178753,Serbia
178778,Germany
178818,Germany
179410,Senegal
179515,France
179873,Hungary
181069,Belgium
181276,Belgium
181297,Spain
182917,Spain
183353,Spain
184138,France
184321,England
184521,France
184533,Spain
185175,Slovenia
185236,Norway
185326,Egypt
185625,Argentina
185644,Australia
185949,Brazil
186557,Denmark
186811,France
188058,England
188555,Netherlands
189982,Switzerland
191315,Spain
191869,England
191873,Spain
193901,Germany
194165,England
195305,Spain
195416,Italy
195750,Argentina
195782,Netherlands
196169,Spain
197352,Brazil
198235,Serbia
198277,France
198559,Netherlands
199834,France
201690,England
201704,Switzerland
205893,Denmark
207236,Switzerland
208494,Brazil
209405,Netherlands
210111,France
210114,France
210119,France
210126,France
210164,France
210389,France
210400,Ivory Coast
210420,France
210423,France
210683,Algeria
212156,Czechia
212470,Spain
212512,Netherlands
212815,Germany
212867,South Korea
212873,Germany
212982,Germany
213299,Italy
213485,Serbia
213501,Spain
213502,Spain
213516,Spain
214972,Central African Rep.
215151,Austria
215159,Germany
215168,Germany
215242,Italy
215387,England
215584,Spain
231821,Equatorial Guinea
237606,Argentina
239219,Croatia
239350,Italy
239920,Ireland
240236,Mali
240537,Germany
242156,France
243138,England
243419,Spain
244811,Italy
245315,Netherlands
245555,Argentina
247761,England
251269,Croatia
252650,Italy
254308,France
255610,England
260470,Germany
260964,Albania
261313,France
261609,Guadeloupe
262592,Spain
264885,Albania
266105,Angola
266520,Denmark
266523,Denmark
267365,Brazil
267371,Italy
267374,Brazil
268375,Argentina
274787,Switzerland
275034,Switzerland
276121,Wales
276729,Germany
276738,Germany
276739,Austria
277771,Belgium
278285,Argentina
278856,Hungary
279461,France
279490,England
279714,France
279820,Italy
279866,French Guiana
279879,Ivory Coast
280287,England
280484,England
280818,Serbia
282281,Spain
282462,Spain
282472,Spain
282676,Spain
282691,Spain
286119,England
288406,Spain
289001,Morocco
290201,Germany
290410,England
290604,Finland
291635,Spain
292313,Mexico
292462,Egypt
294859,France
295067,England
298823,Germany
298915,Germany
299799,Italy
299981,Spain
301023,Italy
303879,Spain
303905,Germany
303912,Germany
303919,England
304345,Bosnia and Herzegovina
304348,Tunisia
304354,Germany
304355,Greece
304455,Netherlands
304733,Turkiye
307021,Germany
307209,Germany
307317,Czechia
308517,Slovakia
309334,Spain
312765,England
314605,Spain
317062,France
317156,Ghana
317564,Spain
318615,Belgium
319305,France
319784,Brazil
321140,Austria
322003,Sweden
324578,Argentina
325916,Argentina
330643,Netherlands
343748,Germany
343757,Germany
343766,Germany
350634,Slovakia
352879,France
352887,Mali
352994,Portugal
353519,Nigeria
355356,Germany
355358,Germany
356406,Scotland
357880,Scotland
359191,Equatorial Guinea
359193,Spain
359203,Germany
360918,Spain
361315,England
361403,Poland
361712,Poland
361717,Portugal
361770,Portugal
362120,Italy
362121,Italy
362195,Italy
362200,Italy
362212,Poland
362694,England
363364,Brazil
364104,Italy
364520,Italy
364822,Italy
369742,Australia
384413,Spain
385437,Germany
388523,Portugal
388903,Bosnia and Herzegovina
391058,Spain
391064,France
395914,Greece
400625,Italy
402419,Poland
402830,Chile
406501,Portugal
406505,Poland
408943,Japan
409193,Guinea
411617,Spain
411851,Germany
412357,Nigeria
413525,France
414232,Suriname
414906,Italy
414924,Italy
415017,Italy
415137,Italy
415539,Italy
416175,Portugal
419664,England
420568,Spain
420731,France
421365,Togo
421768,Wales
421786,Gabon
422685,Portugal
423223,Italy
423624,Germany
423812,Austria
424129,Belgium
425962,Germany
426393,France
427438,Spain
429265,France
430856,Japan
432435,Germany
433859,Ukraine
434325,Ghana
435513,Ireland
439148,Norway
439366,Guinea
439368,Cameroon
439369,Scotland
440330,Norway
442602,Slovakia
442728,Germany
443966,Germany
445226,Ivory Coast
445856,France
446266,Croatia
447084,Germany
448540,Guinea
448865,France
449283,Italy
450976,Germany
451335,Switzerland
458976,Germany
459658,Ukraine
460632,Germany
462863,Estonia
464981,Slovakia
465750,Belgium
465960,Belgium
466113,Belgium
466436,Senegal
466439,France
466672,Colombia
466867,Bosnia and Herzegovina
467486,Nigeria
467689,Senegal
469615,Argentina
469700,Germany
469804,Netherlands
469939,Scotland
470834,Portugal
471153,France
473852,France
474448,Paraguay
474589,Uruguay
474658,Spain
474673,Colombia
477588,Spain
477615,Spain
478105,France
478447,Montenegro
479020,Spain
479217,Spain
480021,Italy
482331,Spain
485047,Netherlands
485634,Italy
488139,Portugal
488412,France
488415,Ivory Coast
488718,Spain
489288,Peru
490868,Poland
491784,Italy
491827,Ireland
492116,Mauritania
492158,France
493165,England
493647,Spain
493731,Brazil
494417,Wales
495222,Suriname
496042,Colombia
497662,Sweden
500502,Morocco
501543,France
503659,Denmark
504314,Côte d'Ivoire
504606,France
506776,Italy
509151,Scotland
512040,Spain
513072,France
515333,Serbia
516846,Germany
517052,Kosovo
517346,Switzerland
518346,Germany
518633,Greece
519835,England
520979,Switzerland
521148,England
521318,Switzerland
521421,Germany
521846,Slovakia
523193,England
523749,South Korea
523825,England
524434,Portugal
524437,Czechia
526450,Ghana
526657,Germany
526827,Austria
527103,Switzerland
527556,Spain
528453,England
528811,Denmark
530197,Greece
530468,Spain
530858,Germany
530859,Germany
531327,Sweden
531629,Spain
533228,Nigeria
534670,Norway
534955,Spain
535936,Brazil
536455,Portugal
538501,Italy
539939,England
540088,England
540097,Czechia
540307,Italy
540963,Norway
541555,Italy
541820,Italy
541933,Guinea-Bissau
543021,Serbia
543306,Italy
544312,Canada
544693,Kosovo
551805,Scotland
552718,Norway
553256,Spain
554534,Germany
556027,Germany
556029,Germany
556505,Germany
556524,Germany
556972,Serbia
557325,Austria
557342,Switzerland
557346,Slovenia
557677,Croatia
557799,Croatia
557805,Austria
559065,Algeria
560939,France
560945,Kosovo
560990,Germany
561046,France
561164,Argentina
561869,Algeria
562719,France
562724,England
562727,Spain
562892,Jamaica
564842,Australia
564847,Ukraine
566158,Indonesia
566187,Tunisia
566425,Portugal
570434,Brazil
570461,Portugal
571379,Germany
571615,Spain
573465,Germany
573780,Spain
574629,Spain
574642,Tunisia
574645,Spain
574662,Spain
574844,Romania
575227,Greece
575364,Italy
575735,Ivory Coast
575779,Brazil
577911,Italy
577912,Italy
578756,Colombia
580591,Morocco
581919,Spain
586388,Russia
586474,Netherlands
586768,Argentina
588687,Italy
590494,Nigeria
591734,England
592102,Senegal
593118,Netherlands
593129,Spain
598355,Switzerland
599353,Scotland
600524,Mozambique
601145,Senegal
602304,France
602523,Germany
602563,Spain
602845,Indonesia
603537,Spain
604044,Japan
604088,Germany
604089,England
604105,Ghana
604126,Argentina
604330,Italy
604785,Nigeria
604982,England
605224,Italy
605654,Spain
606491,Guadeloupe
607148,Spain
609504,Scotland
609505,Spain
609516,Spain
609755,England
610184,Argentina
611223,France
611491,Cameroon
611528,New Caledonia
612150,England
612699,France
612747,France
612755,Italy
612836,Netherlands
612863,Cameroon
613260,France
613334,Angola
614006,Portugal
614207,France
614384,Germany
614449,Germany
614834,Spain
616531,Spain
616539,Spain
616545,Spain
617310,Morocco
618878,Italy
619513,Uzbekistan
620026,South Korea
620027,Austria
620618,Uruguay
620917,Japan
621415,Argentina
621515,Japan
621562,France
622091,Croatia
622373,Croatia
623537,France
623716,Ireland
624166,Italy
625091,Philippines
625175,Germany
625340,Uruguay
626890,Germany
628201,Germany
628310,Japan
629579,Senegal
629594,Spain
629805,Japan
630286,Norway
634110,Haiti
634310,Switzerland
635772,Spain
637656,Brazil
637716,Brazil
637746,France
637753,Germany
637756,Spain
638010,Spain
638070,Spain
638090,Spain
638127,Germany
638622,Netherlands
639450,Spain
639671,Italy
640122,Spain
640123,Spain
640220,Spain
640231,Spain
640238,Spain
640492,Spain
641595,Croatia
642534,Germany
642551,Spain
643228,England
643229,Ivory Coast
643448,Croatia
643635,Panama
643652,Mali
643724,Austria
647900,Sweden
650616,Denmark
651435,Croatia
651910,Slovakia
654044,Brazil
654096,England
654908,Brazil
655575,Denmark
655696,Ukraine
656491,Denmark
658240,Switzerland
658440,Germany
658554,France
658658,Morocco
659272,Norway
659490,Chile
660010,Portugal
660326,France
660327,Mali
660462,France
660479,France
660625,Spain
661519,Germany
661761,Italy
662205,Italy
662428,USA
664226,Dominican Republic
664500,Sweden
664587,Mali
664970,Germany
665188,Iceland
666857,DR Congo
666954,Nigeria
667788,Germany
667790,Germany
670009,Greece
670928,Italy
671203,Spain
671331,Jamaica
671529,Greece
671685,Spain
671686,Spain
671865,Spain
671961,Brazil
672469,England
673050,France
673356,Argentina
673689,Spain
674014,Wales
674242,Georgia
674499,Germany
675023,Luxembourg
676533,Spain
678192,Spain
678234,Spain
680031,Spain
681213,Romania
681383,Germany
682548,Nigeria
683402,England
683450,Spain
683473,France
683761,Spain
683762,Spain
684981,Spain
684983,Turkiye
686102,France
686315,Germany
686460,Argentina
688273,Germany
688278,Ecuador
688295,USA
688300,Nigeria
688830,Mali
688876,Belgium
689065,France
689680,Denmark
689987,Poland
690107,Sweden
690149,DR Congo
690230,Argentina
690516,Nigeria
692984,France
693160,Italy
693171,France
693599,Argentina
693678,Belgium
693736,Spain
695062,Spain
695405,Burkina Faso
696263,France
696365,England
696443,Morocco
696679,Brazil
698273,Ivory Coast
698653,Spain
699461,France
700074,Nigeria
701154,France
704151,Netherlands
704523,France
705450,France
705484,Switzerland
706297,France
707970,Switzerland
708435,France
708457,France
708890,Spain
710158,England
710159,England
711231,Spain
711357,Jamaica
713924,Equatorial Guinea
715069,Spain
715301,France
717174,Wales
719219,Greece
719330,England
721089,Italy
721091,Germany
722207,Denmark
723564,Brazil
724196,Netherlands
724306,Mali
724368,Jamaica
724371,France
724909,Poland
725398,Portugal
726345,Argentina
726442,Kenya
727897,Slovakia
729093,Uruguay
729731,Poland
729769,USA
730901,Venezuela
731600,Germany
734042,England
737066,Norway
737339,Portugal
737857,Serbia
740944,Norway
741049,North Macedonia
743533,Uruguay
744494,Sweden
746395,England
747079,Croatia
747718,Austria
747767,Belgium
747926,Italy
748380,Spain
749488,Austria
749661,England
749662,England
749736,Germany
750027,Morocco
750028,Spain
750030,Italy
750031,Spain
750734,Brazil
750880,Albania
751202,Canada
751550,Portugal
751649,England
751762,DR Congo
751998,Paraguay
753593,Brazil
753724,Spain
754126,Austria
759097,Denmark
759580,England
759817,Switzerland
760320,DR Congo
760359,England
760398,Ivory Coast
760712,England
760722,Poland
760752,Kosovo
762028,Albania
762721,Croatia
763313,Serbia
763970,France
763974,France
764018,Switzerland
765693,Belgium
765998,Germany
766062,Italy
766435,Brazil
766574,Senegal
766611,Serbia
766957,Spain
767013,France
767716,Portugal
767789,Austria
768331,Brazil
768474,Serbia
769166,Haiti
769525,Brazil
769895,Netherlands
769931,Malta
770267,England
770271,France
770321,France
770340,France
770881,Morocco
771294,Senegal
771401,France
771630,Ghana
772193,Germany
773189,France
773991,England
774448,Turkiye
775539,Morocco
775614,England
776151,England
776591,Ghana
776594,Denmark
776689,Ireland
776940,Ivory Coast
777028,Portugal
780432,Wales
782502,France
782703,Croatia
783505,Mexico
784146,Germany
784241,Spain
784246,Spain
784448,Belgium
784510,Italy
785411,Argentina
785511,Spain
785739,Germany
786580,Zimbabwe
787242,Ivory Coast
789066,Argentina
789243,Morocco
789502,England
789509,Nigeria
789571,Spain
789578,Ireland
789630,England
789646,England
789914,Burkina Faso
790732,Italy
792645,Spain
792756,Switzerland
793041,Italy
793066,Brazil
793255,Portugal
793907,England
794253,Netherlands
794393,Germany
795179,Brazil
795371,Ivory Coast
796974,Netherlands
797594,Netherlands
797901,Spain
797908,Brazil
798029,Czechia
798659,Nigeria
799230,Italy
799497,Italy
800609,France
801120,Sweden
801213,Spain
802462,Ivory Coast
803343,Denmark
805352,Spain
805451,Italy
805767,Romania
806552,Netherlands
806669,Germany
807148,Italy
807729,England
812415,France
812549,Romania
812652,Argentina
812839,Netherlands
812982,Wales
813055,Jordan
813428,Netherlands
813771,Spain
814398,Italy
814400,Italy
814663,Spain
815006,England
815187,Cameroon
815431,Italy
815465,France
815912,Turkiye
816325,France
817500,Egypt
817724,Cameroon
818893,Italy
818975,England
819215,England
820024,England
820140,France
820712,Ivory Coast
821100,Norway
821271,Brazil
821728,Spain
822440,Italy
822589,Sweden
822788,Germany
822789,Italy
823018,Italy
823293,Norway
823592,England
823658,Argentina
823825,France
824623,Denmark
824635,Portugal
824717,Croatia
825806,Germany
827315,Argentina
828159,South Korea
831044,Sweden
831474,Croatia
831489,Argentina
833219,Argentina
833638,Montenegro
834956,Italy
836436,Brazil
836726,Hungary
836797,Czechia
837089,Spain
837270,Nigeria
839038,Kosovo
839204,Egypt
839232,Spain
839750,Honduras
839893,Spain
840241,Bosnia and Herzegovina
841672,Argentina
843040,Portugal
843099,Scotland
844415,Brazil
844425,England
844437,Algeria
844477,Spain
844544,Senegal
844943,England
844996,Italy
845368,Ecuador
845943,Venezuela
845994,Italy
845998,Spain
846000,France
846002,France
846005,Hungary
846033,Brazil
846381,England
846383,England
846392,Tunisia
846761,Morocco
846966,Spain
847357,Algeria
847629,Canada
847983,Argentina
848034,Uruguay
848266,USA
848289,Japan
848563,Senegal
848844,Portugal
850295,Italy
850354,Brazil
852071,Colombia
853108,Ivory Coast
856685,Nigeria
857120,Japan
857269,Brazil
859282,Colombia
860260,Ghana
860314,Argentina
860592,Poland
860913,Colombia
860914,Colombia
860920,England
860975,England
861541,Slovenia
861805,Slovenia
862608,Japan
862616,Kosovo
863098,Brazil
863168,Spain
863455,Poland
864006,France
864145,France
864157,Germany
865010,France
865931,England
866516,Netherlands
866517,Netherlands
866686,Denmark
866688,England
866708,France
867080,Germany
867225,Turkiye
867414,Italy
867789,Italy
868344,Netherlands
869054,Italy
872362,Albania
872396,Senegal
872934,Switzerland
