player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,shooting_focus,central_finishing,box_presence,link_play,first_line_press,composite_score,has_primary_season
194165,Harry Kane,9823,Bayern München,GER-Bundesliga,3.0,22.5,17.0,0.0,1.3,4.2,0.16,1.03,1.0,5.0,1.3,0.3,2.5,0.2,0.5,8.09,0.0,39.0,4.5,0.7,1.2,2292,30,Attacker,0.5,0.3,0.13333333333333333,1.2,0.5555555555555556,0.2288888888888889,3.75,95.92365092365092,90.77434707434708,77.3934206934207,44.71291291291291,85.08817994774078,True
701154,Kylian Mbappé,8633,Real Madrid,ESP-La Liga,1.2,29.9,8.0,0.0,0.0,6.1,0.23,0.86,0.5,5.0,0.89,0.1,2.3,0.0,0.7,8.07,0.0,64.0,5.0,0.1,2.8,2424,29,Attacker,0.28571428571428575,0.5,0.04013377926421405,5.6,0.45999999999999996,0.172,1.7857142857142858,91.07904267904269,80.64923104923106,92.43044863044862,48.537728637728634,81.58248434135996,True
692984,Ousmane Dembélé,9847,Paris Saint-Germain,FRA-Ligue 1,2.6,53.1,9.0,0.0,0.3,4.5,0.39,0.57,0.3,7.0,0.87,0.0,1.6,0.0,0.9,7.47,0.0,41.0,3.9,0.5,2.1,1035,21,Attacker,0.625,0.0,0.04896421845574388,7.000000000000001,0.4102564102564103,0.14615384615384613,1.857142857142857,86.23336063336063,78.488078988079,95.92492492492494,64.83601783601783,81.57674727197184,True
696679,Raphinha,8634,Barcelona,ESP-La Liga,1.6,33.1,11.0,0.0,0.7,5.6,0.38,0.68,0.7,3.0,0.75,0.3,1.4,0.1,0.7,7.7,0.0,39.0,4.1,1.0,1.4,1325,21,Attacker,0.65,0.23076923076923075,0.04833836858006042,2.0,0.34146341463414637,0.1658536585365854,2.9285714285714284,82.04449904449905,80.92775502775503,93.05333515333514,71.36212576212576,81.48520386768334,True
1297165,Bradley Barcola,9847,Paris Saint-Germain,FRA-Ligue 1,0.6,31.3,11.0,0.0,0.3,4.5,0.24,0.56,1.0,1.0,0.53,0.6,1.5,0.1,1.2,7.36,0.0,38.0,3.5,1.6,1.9,1692,28,Attacker,0.6875,0.2727272727272727,0.019169329073482427,1.9,0.42857142857142855,0.16,1.842105263157895,84.43074893074892,76.56662116662118,89.55091455091456,80.65435435435434,81.29911800483634,True
881771,Ferran Torres,8634,Barcelona,ESP-La Liga,0.3,15.4,4.0,0.0,0.5,1.7,0.08,0.62,0.6,1.0,0.76,0.1,1.7,0.0,0.4,7.09,0.0,22.0,3.2,0.3,0.3,1893,32,Attacker,0.4,0.25,0.01948051948051948,0.5,0.53125,0.19374999999999998,10.666666666666668,91.88455728455727,90.483255983256,50.118527618527615,45.56098826098826,80.1278413236943,True
661519,Deniz Undav,10269,VfB Stuttgart,GER-Bundesliga,0.7,18.1,7.0,0.0,0.3,3.7,0.15,0.68,1.3,5.0,0.79,0.2,1.9,0.0,0.9,7.45,0.0,34.0,5.0,0.7,0.4,2157,28,Attacker,0.409090909090909,0.22222222222222227,0.03867403314917126,0.3076923076923077,0.38,0.136,12.5,79.7194012194012,90.26036036036037,69.69357539357539,54.661843661843655,79.59982968784684,True
940087,Gonçalo Ramos,9847,Paris Saint-Germain,FRA-Ligue 1,0.1,19.3,2.0,0.0,0.7,1.4,0.1,0.65,1.5,1.0,0.43,0.3,1.8,0.0,0.9,6.73,0.0,16.0,4.1,0.9,1.2,1246,29,Attacker,0.4444444444444444,0.25,0.0051813471502590676,0.7999999999999999,0.4390243902439025,0.1585365853658537,3.4166666666666665,86.57189917189918,89.4886340886341,42.92759122759123,62.85546455546456,79.20742334797433,True
690107,Alexander Isak,10261,Newcastle United,ENG-Premier League,0.5,16.5,11.0,0.0,0.6,3.6,0.12,0.66,0.9,6.0,0.75,0.1,1.5,0.1,0.6,7.4,0.0,42.0,3.2,0.4,1.4,2769,34,Attacker,0.35714285714285715,0.2,0.030303030303030304,1.5555555555555554,0.46875,0.20625,2.285714285714286,92.43636363636362,81.64545454545456,65.14545454545456,43.27272727272727,78.72628971072382,False
737066,Erling Haaland,8456,Manchester City,ENG-Premier League,0.1,7.5,8.0,0.0,1.2,2.3,0.07,0.79,0.7,8.0,0.82,0.2,1.8,0.0,0.4,7.67,0.0,24.0,3.9,0.5,0.5,2868,34,Attacker,0.5,0.28571428571428575,0.013333333333333334,0.7142857142857143,0.46153846153846156,0.20256410256410257,7.8,94.31812721812723,94.27273637273636,36.25324415324416,39.12169442169442,78.48180196676955,True
